"日期","收市","開市","高","低","成交量","更改%"
"2016年2月1日","4.30","4.38","4.38","4.28","90.84M","-1.83%"
"2016年1月29日","4.38","4.33","4.44","4.29","141.99M","0.92%"
"2016年1月28日","4.34","4.31","4.48","4.29","171.83M","-0.46%"
"2016年1月27日","4.36","4.31","4.42","4.15","169.75M","1.87%"
"2016年1月26日","4.28","4.46","4.47","4.25","128.35M","-5.10%"
"2016年1月25日","4.51","4.52","4.54","4.48","99.56M","0.89%"
"2016年1月22日","4.47","4.46","4.51","4.40","104.40M","1.36%"
"2016年1月21日","4.41","4.44","4.53","4.40","112.21M","-2.00%"
"2016年1月20日","4.50","4.52","4.56","4.43","119.66M","-1.10%"
"2016年1月19日","4.55","4.45","4.57","4.42","92.55M","2.71%"
"2016年1月18日","4.43","4.39","4.48","4.36","82.84M","-0.89%"
"2016年1月15日","4.47","4.61","4.63","4.45","164.62M","-3.66%"
"2016年1月14日","4.64","4.60","4.66","4.53","146.03M","0.00%"
"2016年1月13日","4.64","4.70","4.74","4.63","126.92M","-0.64%"
"2016年1月12日","4.67","4.65","4.74","4.61","131.75M","0.21%"
"2016年1月11日","4.66","4.72","4.79","4.64","188.14M","-2.10%"
"2016年1月8日","4.76","4.75","4.83","4.65","222.21M","3.48%"
"2016年1月7日","4.60","4.83","4.84","4.59","55.15M","-6.12%"
"2016年1月6日","4.90","4.75","4.93","4.72","232.90M","3.38%"
"2016年1月5日","4.74","4.74","4.83","4.70","225.24M","-0.42%"
"2016年1月4日","4.76","4.97","5.00","4.75","147.08M","-4.03%"
"2015年12月31日","4.96","4.97","5.00","4.95","96.77M","-0.20%"
"2015年12月30日","4.97","4.97","5.00","4.93","111.24M","0.20%"
"2015年12月29日","4.96","4.92","4.96","4.90","85.29M","0.61%"
"2015年12月28日","4.93","5.03","5.05","4.92","156.70M","-1.99%"
"2015年12月25日","5.03","5.05","5.06","5.00","104.95M","-0.20%"
"2015年12月24日","5.04","5.09","5.10","5.02","149.01M","-0.40%"
"2015年12月23日","5.06","5.05","5.10","5.02","213.53M","0.20%"
"2015年12月22日","5.05","5.06","5.07","5.01","126.47M","0.00%"
"2015年12月21日","5.05","4.98","5.07","4.94","183.15M","0.80%"
"2015年12月18日","5.01","5.01","5.08","4.99","121.64M","-0.20%"
"2015年12月17日","5.02","4.99","5.05","4.97","163.43M","0.40%"
"2015年12月16日","5.00","4.96","5.05","4.95","232.79M","2.25%"
"2015年12月15日","4.89","4.90","4.94","4.86","109.99M","-0.41%"
"2015年12月14日","4.91","4.80","4.91","4.77","113.09M","1.66%"
"2015年12月11日","4.83","4.87","4.88","4.78","135.09M","-1.23%"
"2015年12月10日","4.89","4.90","4.93","4.87","83.54M","-0.20%"
"2015年12月9日","4.90","4.90","4.94","4.86","79.51M","-0.20%"
"2015年12月8日","4.91","4.93","4.96","4.90","125.21M","-2.19%"
"2015年12月7日","5.02","5.02","5.05","4.98","92.50M","-0.20%"
"2015年12月4日","5.03","5.09","5.12","5.01","178.16M","-2.14%"
"2015年12月3日","5.14","5.05","5.23","5.01","231.74M","0.78%"
"2015年12月2日","5.10","4.93","5.10","4.89","219.09M","3.66%"
"2015年12月1日","4.92","4.91","4.94","4.85","110.85M","0.00%"
"2015年11月30日","4.92","4.91","4.96","4.82","160.31M","0.41%"
"2015年11月27日","4.90","5.14","5.15","4.88","258.37M","-5.04%"
"2015年11月26日","5.16","5.15","5.21","5.13","191.26M","0.58%"
"2015年11月25日","5.13","5.15","5.15","5.10","130.98M","0.00%"
"2015年11月24日","5.13","5.11","5.13","5.08","96.78M","0.20%"
"2015年11月23日","5.12","5.16","5.17","5.11","143.49M","-0.78%"
"2015年11月20日","5.16","5.19","5.20","5.15","157.37M","-0.58%"
"2015年11月19日","5.19","5.18","5.21","5.14","156.82M","0.39%"
"2015年11月18日","5.17","5.17","5.26","5.15","168.44M","-0.58%"
"2015年11月17日","5.20","5.19","5.35","5.18","268.89M","0.19%"
"2015年11月16日","5.19","5.09","5.20","5.08","135.71M","0.39%"
"2015年11月13日","5.17","5.22","5.25","5.16","187.79M","-2.08%"
"2015年11月12日","5.28","5.35","5.35","5.23","168.82M","-1.31%"
"2015年11月11日","5.35","5.38","5.42","5.30","200.22M","-0.74%"
"2015年11月10日","5.39","5.31","5.46","5.29","354.43M","0.75%"
"2015年11月9日","5.35","5.23","5.42","5.22","385.41M","1.71%"
"2015年11月6日","5.26","5.20","5.28","5.16","317.21M","0.77%"
"2015年11月5日","5.22","5.05","5.39","5.05","598.19M","2.55%"
"2015年11月4日","5.09","4.94","5.10","4.92","309.39M","3.46%"
"2015年11月3日","4.92","4.96","4.97","4.90","96.52M","-0.40%"
"2015年11月2日","4.94","5.00","5.01","4.93","143.34M","-1.59%"
"2015年10月30日","5.02","5.03","5.08","4.99","188.54M","-1.18%"
"2015年10月29日","5.08","5.09","5.09","5.05","113.61M","0.59%"
"2015年10月28日","5.05","5.08","5.14","5.05","173.64M","-0.79%"
"2015年10月27日","5.09","5.11","5.13","5.03","140.37M","-0.97%"
"2015年10月26日","5.14","5.16","5.18","5.12","180.49M","0.19%"
"2015年10月23日","5.13","5.11","5.14","5.09","157.45M","0.59%"
"2015年10月22日","5.10","5.09","5.11","5.05","144.95M","0.00%"
"2015年10月21日","5.10","5.16","5.23","5.00","389.25M","-1.16%"
"2015年10月20日","5.16","5.13","5.18","5.10","156.38M","0.00%"
"2015年10月19日","5.16","5.21","5.24","5.13","186.53M","-0.77%"
"2015年10月16日","5.20","5.17","5.23","5.12","277.66M","1.17%"
"2015年10月15日","5.14","5.05","5.15","5.04","187.19M","1.58%"
"2015年10月14日","5.06","5.07","5.11","5.03","157.39M","-0.59%"
"2015年10月13日","5.09","5.10","5.13","5.07","145.79M","-0.97%"
"2015年10月12日","5.14","5.03","5.20","5.00","278.29M","2.19%"
"2015年10月9日","5.03","4.93","5.04","4.90","247.91M","2.86%"
"2015年10月8日","4.89","4.99","4.99","4.89","208.12M","3.16%"
"2015年9月30日","4.74","4.74","4.77","4.71","78.97M","0.21%"
"2015年9月29日","4.73","4.76","4.78","4.70","117.88M","-1.87%"
"2015年9月28日","4.82","4.83","4.85","4.75","92.68M","-1.03%"
"2015年9月25日","4.87","4.85","4.91","4.81","156.78M","0.00%"
"2015年9月24日","4.87","4.87","4.89","4.83","88.85M","0.21%"
"2015年9月23日","4.86","4.91","4.94","4.85","125.36M","-3.57%"
"2015年9月22日","5.04","5.01","5.07","4.99","160.50M","1.00%"
"2015年9月21日","4.99","4.92","5.00","4.90","126.13M","0.81%"
"2015年9月18日","4.95","4.97","4.99","4.92","119.96M","0.00%"
"2015年9月17日","4.95","4.99","5.09","4.94","271.94M","-1.00%"
"2015年9月16日","5.00","4.86","5.05","4.78","267.91M","3.31%"
"2015年9月15日","4.84","4.82","4.98","4.79","237.37M","-0.41%"
"2015年9月14日","4.86","5.05","5.06","4.81","225.70M","-3.38%"
"2015年9月11日","5.03","5.06","5.09","5.00","114.06M","-0.40%"
"2015年9月10日","5.05","5.07","5.10","5.02","211.32M","-1.94%"
"2015年9月9日","5.15","5.06","5.22","5.02","383.90M","1.98%"
"2015年9月8日","5.05","4.90","5.05","4.85","228.89M","2.85%"
"2015年9月7日","4.91","4.95","5.08","4.90","299.82M","0.20%"
"2015年9月2日","4.90","4.90","5.03","4.80","354.65M","-3.54%"
"2015年9月1日","5.08","5.05","5.15","4.99","426.94M","2.63%"
"2015年8月31日","4.95","5.00","5.00","4.85","264.98M","-1.59%"
"2015年8月28日","5.03","4.91","5.05","4.88","396.08M","5.89%"
